Designator,Mid X,Mid Y,Rotation,Layer
BT1,107.783,-121.303051,180.0,bottom
D1,129.794,-124.714,0.0,top
J1,100.838001,-128.8975,0.0,top
J2,125.364001,-114.3,90.0,top
J3,117.216001,-114.426999,90.0,top
J4,109.093002,-122.173998,180.0,top
J5,91.821,-126.365,0.0,top
Q1,128.922501,-119.761,0.0,top
R3,129.633001,-122.923998,180.0,top
R4,131.699,-119.761,270.0,top
R5,127.127,-121.92,270.0,top
SW2,119.24,-123.698,180.0,top
SW3,82.39,-115.824,270.0,top
U2,135.17118,-113.03,270.0,top
