C2:1
C4:1
C7:1
D1:1
D6:1
IC2:1
IC3:1
J2:1
JP1:1
JP2:1
JP5:1
JP6:1
JP7:1
R1:1
R2:1
R3:1
R8:1
SW5:1
TP3:1
TP4:1
TP5:1
U2:1
U3:1
U4:1
U5:1
U6:1
