C2:1
C3:4
C4:1
C5:4
C6:1
C7:1
C8:1
D1:1
D6:1
H1:1
H2:1
H3:1
H4:1
IC2:1
IC3:1
IC4:1
J2:1
J3:1
J4:1
J5:1
J7:4
JP10:1
JP3:4
JP4:4
JP6:1
JP7:1
JP8:4
JP9:1
R1:1
R2:1
R3:1
R8:1
RN1:4
SW4:1
U2:4
U6:1
